country,code
Afghanistan,0
Albania,1
Algeria,2
Andorra,3
Angola,4
Anguilla,5
Antarctica,6
Antigua and Barbuda,7
Argentina,8
Armenia,9
Aruba,10
Australia,11
Austria,12
Azerbaijan,13
Bahamas,14
Bahrain,15
Bangladesh,16
Barbados,17
Belarus,18
Belgium,19
Belize,20
Benin,21
Bermuda,22
Bhutan,23
Bolivia,24
Bonaire Sint Eustatius and Saba,25
Bosnia and Herzegovina,26
Botswana,27
Brazil,28
British Virgin Islands,29
Brunei,30
Bulgaria,31
Burkina Faso,32
Burundi,33
Cambodia,34
Cameroon,35
Canada,36
Cape Verde,37
Central African Republic,38
Chad,39
Chile,40
China,41
Christmas Island,42
Colombia,43
Comoros,44
Congo,45
Cook Islands,46
Costa Rica,47
Cote d'Ivoire,48
Croatia,49
Cuba,50
Curacao,51
Cyprus,52
Czechia,53
Democratic Republic of Congo,54
Denmark,55
Djibouti,56
Dominica,57
Dominican Republic,58
East Timor,59
Ecuador,60
Egypt,61
El Salvador,62
Equatorial Guinea,63
Eritrea,64
Estonia,65
Eswatini,66
Ethiopia,67
Faroe Islands,68
Fiji,69
Finland,70
France,71
French Polynesia,72
Gabon,73
Gambia,74
Georgia,75
Germany,76
Ghana,77
Greece,78
Greenland,79
Grenada,80
Guatemala,81
Guinea,82
Guinea-Bissau,83
Guyana,84
Haiti,85
Honduras,86
Hong Kong,87
Hungary,88
Iceland,89
India,90
Indonesia,91
Iran,92
Iraq,93
Ireland,94
Israel,95
Italy,96
Jamaica,97
Japan,98
Jordan,99
Kazakhstan,100
Kenya,101
Kiribati,102
Kyrgyzstan,103
Laos,104
Latvia,105
Lebanon,106
Lesotho,107
Liberia,108
Libya,109
Liechtenstein,110
Lithuania,111
Luxembourg,112
Macao,113
Madagascar,114
Malawi,115
Malaysia,116
Maldives,117
Mali,118
Malta,119
Marshall Islands,120
Mauritania,121
Mauritius,122
Mexico,123
Micronesia (country),124
Moldova,125
Mongolia,126
Montenegro,127
Montserrat,128
Morocco,129
Mozambique,130
Myanmar,131
Namibia,132
Nauru,133
Nepal,134
Netherlands,135
New Caledonia,136
New Zealand,137
Nicaragua,138
Niger,139
Nigeria,140
Niue,141
North Korea,142
North Macedonia,143
Norway,144
Oman,145
Pakistan,146
Palau,147
Palestine,148
Panama,149
Papua New Guinea,150
Paraguay,151
Peru,152
Philippines,153
Poland,154
Portugal,155
Qatar,156
Romania,157
Russia,158
Rwanda,159
Saint Helena,160
Saint Kitts and Nevis,161
Saint Lucia,162
Saint Pierre and Miquelon,163
Saint Vincent and the Grenadines,164
Samoa,165
Sao Tome and Principe,166
Saudi Arabia,167
Senegal,168
Serbia,169
Seychelles,170
Sierra Leone,171
Singapore,172
Sint Maarten (Dutch part),173
Slovakia,174
Slovenia,175
Solomon Islands,176
Somalia,177
South Africa,178
South Korea,179
South Sudan,180
Spain,181
Sri Lanka,182
Sudan,183
Suriname,184
Sweden,185
Switzerland,186
Syria,187
Taiwan,188
Tajikistan,189
Tanzania,190
Thailand,191
Togo,192
Tonga,193
Trinidad and Tobago,194
Tunisia,195
Turkey,196
Turkmenistan,197
Turks and Caicos Islands,198
Tuvalu,199
Uganda,200
Ukraine,201
United Arab Emirates,202
United Kingdom,203
United States,204
Uruguay,205
Uzbekistan,206
Vanuatu,207
Venezuela,208
Vietnam,209
Wallis and Futuna,210
Yemen,211
Zambia,212
Zimbabwe,213
